"agea","gndr","eduyrs","cntry","nwspol","netusoft","netustm"
69,"Varón",15,"Austria",60,5,90
75,"Mujer",12,"Austria",90,5,2
49,"Varón",16,"Austria",60,5,360
43,"Varón",13,"Austria",3,5,180
69,"Varón",8,"Austria",20,5,180
58,"Mujer",18,"Austria",480,5,480
79,"Mujer",12,"Austria",120,5,60
68,"Mujer",13,"Austria",120,5,300
77,"Varón",11,"Austria",60,4,90
36,"Mujer",12,"Austria",60,4,45
62,"Varón",12,"Austria",60,4,120
29,"Mujer",13,"Austria",30,5,180
49,"Varón",13,"Austria",20,5,240
68,"Mujer",12,"Austria",15,5,15
54,"Mujer",17,"Austria",60,5,210
58,"Mujer",13,"Austria",120,5,90
58,"Mujer",12,"Austria",90,5,180
51,"Mujer",17,"Austria",30,4,30
78,"Varón",13,"Austria",40,5,105
56,"Varón",40,"Austria",60,5,60
53,"Varón",15,"Austria",180,5,180
25,"Mujer",18,"Austria",15,5,180
54,"Varón",12,"Austria",20,5,60
60,"Varón",12,"Austria",60,5,20
58,"Mujer",12,"Austria",60,5,180
45,"Mujer",13,"Austria",30,5,120
59,"Varón",12,"Austria",0,5,120
87,"Mujer",12,"Austria",120,5,60
66,"Mujer",9,"Austria",120,5,180
51,"Mujer",12,"Austria",20,5,60
45,"Mujer",12,"Austria",60,5,390
68,"Varón",13,"Austria",120,5,90
67,"Mujer",12,"Austria",60,5,60
19,"Varón",12,"Austria",130,5,310
46,"Varón",16,"Austria",30,5,300
78,"Varón",14,"Austria",105,5,345
56,"Varón",13,"Austria",30,5,60
32,"Mujer",24,"Austria",90,5,240
38,"Mujer",12,"Austria",60,5,300
49,"Mujer",18,"Austria",90,5,120
57,"Varón",12,"Austria",5,5,120
42,"Mujer",26,"Austria",10,5,60
32,"Mujer",13,"Austria",75,5,240
39,"Mujer",11,"Austria",20,5,210
61,"Mujer",12,"Austria",60,5,120
39,"Mujer",17,"Austria",30,5,120
68,"Mujer",11,"Austria",90,5,300
67,"Varón",12,"Austria",30,5,120
57,"Mujer",12,"Austria",30,5,40
36,"Mujer",13,"Austria",30,5,180
74,"Mujer",13,"Austria",120,5,120
59,"Mujer",15,"Austria",10,4,10
75,"Varón",12,"Austria",90,5,90
60,"Varón",12,"Austria",150,5,240
21,"Varón",9,"Austria",5,5,180
31,"Varón",12,"Austria",2,5,180
57,"Mujer",8,"Austria",45,5,60
18,"Varón",12,"Austria",30,5,300
64,"Varón",13,"Austria",120,5,150
17,"Varón",10,"Austria",10,5,240
17,"Varón",11,"Austria",0,5,600
46,"Mujer",17,"Austria",30,5,60
51,"Mujer",11,"Austria",60,5,180
48,"Mujer",12,"Austria",45,4,90
56,"Mujer",14,"Austria",60,4,30
28,"Varón",16,"Austria",60,5,300
65,"Varón",12,"Austria",90,4,180
54,"Varón",12,"Austria",60,5,120
